,name,accuracy,precision,confusion matrix
0,SVC,0.9760247486465584,0.8837209302325582,"[[1110   20]
 [  11  152]]"
1,Logistic,0.9698375870069605,0.8604651162790697,"[[1106   24]
 [  15  148]]"
2,Bernoulli,0.9775715390564579,0.8313953488372093,"[[1121   29]
 [   0  143]]"
3,Multinomial,0.9675174013921114,0.9302325581395349,"[[1091   12]
 [  30  160]]"
4,RandomForest,0.979891724671307,0.8546511627906976,"[[1120   25]
 [   1  147]]"
5,AdaBoost,0.9636504253673627,0.8430232558139535,"[[1101   27]
 [  20  145]]"
6,Bagging,0.9474091260634184,0.8837209302325582,"[[1073   20]
 [  48  152]]"
7,ExtraTree,0.9806651198762568,0.877906976744186,"[[1117   21]
 [   4  151]]"
8,DecisionTree,0.9435421500386698,0.8662790697674418,"[[1071   23]
 [  50  149]]"
9,KNN,0.9419953596287703,0.5813953488372093,"[[1118   72]
 [   3  100]]"
